scenario_id,domain,object_type,priority,account_tier,account_revenue,customer_tenure,recent_interactions,sla_hours_remaining,churn_risk_score,compliance_flags,open_cases_count,sentiment_score,behavioral_signals,ground_truth,is_complex
S0019,HR,LeaveApproval,Medium,Enterprise,1004831.3223330898,4.265230615960289,2,12.882990091205398,0.5530536243347565,0,2,-0.1530581153837629,1,PRIORITY_ROUTE,False
S0020,Compliance,AuditRequest,Medium,Gold,446846.6428838888,3.300928236305598,2,11.816217239189024,0.6696824104694955,0,0,-0.8930294065052622,2,AI_ROUTE_STANDARD,True
S0021,ServiceDesk,Incident,Medium,Standard,54372.30919946245,0.3478320352342607,0,29.11594398030315,0.07260848366393868,0,3,0.4740711135820177,3,STANDARD_ROUTE,False
S0022,Sales,Opportunity,Critical,Enterprise,1551453.69718868,0.30218435810318856,2,4.529791419046616,0.4956311004015554,1,1,0.5542938318548736,1,ESCALATE_COMPLIANCE,False
S0023,Sales,Contract,Medium,Enterprise,517030.4671511286,2.529417478331705,0,6.143851022733417,0.406165970623202,2,1,0.7371982563789206,0,ESCALATE_COMPLIANCE,False
S0024,HR,LeaveApproval,Low,Enterprise,564739.8679258642,8.870884916640035,2,26.80807850906274,0.2256927787945085,0,3,-0.43807362081553936,3,AI_ROUTE_ELEVATED,True
S0025,Sales,Quote,High,Gold,206375.16998569557,1.7873058372532846,1,2.035007677708397,0.326197861417741,0,0,0.8810636542707668,1,STANDARD_ROUTE,False
S0026,CRM,Lead,Low,Enterprise,1327381.8088161051,0.7205003366858431,4,36.104969248863426,0.48283362064979674,0,0,-0.9726560703460054,0,AI_ROUTE_ELEVATED,True
S0027,ServiceDesk,ServiceRequest,Medium,Standard,92184.91770318785,3.519348570153738,3,10.239653104059933,0.21359218788094186,1,0,-0.4626550359493853,0,ESCALATE_COMPLIANCE,False
S0028,Sales,Quote,Low,Standard,37699.951579394445,6.779672435583519,1,38.111347374807565,0.07635546283225397,0,5,0.10963121708445134,0,STANDARD_ROUTE,False
S0029,Sales,Opportunity,Low,Standard,45688.85040891432,3.8923619014123414,2,44.51291219517098,0.060526371354931705,0,1,-0.5197087624436139,0,STANDARD_ROUTE,False
S0030,CRM,Contact,High,Enterprise,708240.7589741151,4.096336204303226,1,43.097449470535565,0.5984488510027774,0,0,-0.44281932193608275,0,PRIORITY_ROUTE,False
S0031,Finance,ExpenseReport,Medium,Enterprise,809500.5776086887,1.811924462043674,2,38.471993948179524,0.15124471849329232,0,2,-0.6309579612872454,0,PRIORITY_ROUTE,False
S0032,HR,LeaveApproval,Medium,Standard,51628.12445198331,5.50491576155937,0,12.490754856340986,0.3199459446625415,0,2,-0.4615135381012381,1,STANDARD_ROUTE,False
S0033,CRM,Case,High,Gold,147904.8527277005,8.848319599772099,4,26.01256073638102,0.43185245717292475,0,2,-0.2878065482043075,2,AI_ROUTE_STANDARD,True
S0034,HR,OnboardingRequest,High,Enterprise,741022.0598893336,0.8259669818183216,1,43.09635766975519,0.35879012288277545,0,4,-0.6582248252198684,2,PRIORITY_ROUTE,False
S0035,Sales,Contract,High,Basic,9711.946598538108,4.964656685186029,2,34.093429543111114,0.2204325369007078,0,1,-0.0914640555618007,1,STANDARD_ROUTE,False
S0036,Sales,Opportunity,Critical,Standard,22494.229609781833,0.010858322225824401,0,22.975394549964882,0.4071524067036297,0,3,-0.24154283007239918,2,PRIORITY_ROUTE,False
S0037,Finance,BudgetRequest,High,Standard,24729.034857913408,0.7177786262398028,3,42.167025688622644,0.49398076688717296,0,2,-0.5355746097063654,1,STANDARD_ROUTE,False
S0038,HR,OnboardingRequest,Medium,Basic,2052.0823663752767,11.242466735728836,2,38.21619649033906,0.18591584017139418,0,1,0.48789258514535394,0,AI_ROUTE_STANDARD,True
S0039,HR,LeaveApproval,Low,Standard,40787.35738443167,6.887231854164012,0,40.706483857389614,0.319706275524256,0,4,-0.4964018821860945,0,STANDARD_ROUTE,False
S0040,Compliance,AuditRequest,Medium,Basic,4607.662750872759,2.4796300252846533,2,24.529712247012135,0.2292330234614664,0,3,0.15257672033362635,1,STANDARD_ROUTE,False
S0041,Finance,ExpenseReport,Low,Basic,5057.55434263719,0.48071481820713674,2,44.23998942432519,0.18926525270317185,0,2,-0.33300165661771164,1,STANDARD_ROUTE,False
S0042,Compliance,AuditRequest,High,Gold,395000.49924389936,2.4075110939693576,1,7.190708468040493,0.4128949733889,0,2,0.3270747440334212,0,STANDARD_ROUTE,False
S0043,ServiceDesk,ServiceRequest,Medium,Enterprise,628024.5021179658,23.072326460603037,2,36.123122343960944,0.3073799210471541,0,2,0.5510552333900212,1,PRIORITY_ROUTE,False
S0044,ServiceDesk,ServiceRequest,Medium,Gold,162096.098372285,0.803220344834502,3,31.089978303853247,0.21559478941896515,0,0,-0.5560556761341011,0,STANDARD_ROUTE,False
S0045,Compliance,PolicyReview,High,Enterprise,1699874.128059784,0.7867108378071413,2,12.050679072474068,0.3267486876906659,0,0,-0.4137045394779735,1,PRIORITY_ROUTE,False
S0046,CRM,Contact,High,Basic,8887.996682877645,4.119244054617997,3,39.69259824257634,0.22251653339194294,1,2,0.9490945303977398,1,ESCALATE_COMPLIANCE,False
S0047,HR,PerformanceReview,Low,Basic,4826.921540223101,0.09090235791016046,2,12.749665058077108,0.3071017670062408,0,1,0.828597613120998,0,STANDARD_ROUTE,False
S0048,ServiceDesk,ServiceRequest,Medium,Gold,360568.1553407457,7.081756769689441,1,7.0020674282683455,0.3470660182777056,2,1,0.037835410565675076,0,ESCALATE_COMPLIANCE,False
S0049,ServiceDesk,Incident,Critical,Standard,64283.68985197494,1.1260001344017632,1,17.394454032085083,0.08686886954251043,0,2,-0.9376337298774307,0,PRIORITY_ROUTE,False
S0050,Compliance,PolicyReview,Low,Basic,2392.0492679491263,3.905570314810522,2,20.107693653820732,0.24061101337739682,0,0,0.9353987764141729,0,STANDARD_ROUTE,False
S0051,ServiceDesk,Problem,Low,Gold,484839.51430564706,6.242849264098506,2,46.01311266768669,0.25354308365377637,0,4,0.3398349291000784,0,STANDARD_ROUTE,False
S0052,CRM,Contact,Medium,Standard,38156.93708550288,0.5137095497299515,2,20.533726337199344,0.2879486963019141,0,2,0.12135438800702802,2,STANDARD_ROUTE,False
S0053,Sales,Contract,Medium,Gold,421590.7917603591,3.0922391700853424,3,42.14160544846635,0.025018575995346636,0,0,-0.8946323280455428,0,STANDARD_ROUTE,False
S0054,HR,OnboardingRequest,Medium,Standard,34451.82739621037,2.03190131870287,0,16.477597031850046,0.24766657908508305,0,1,0.8206782041150686,0,STANDARD_ROUTE,False
S0055,CRM,Case,High,Standard,95496.50655552027,6.173571127502345,0,20.335086849784098,0.22299673946172058,0,2,0.2992932979847369,1,STANDARD_ROUTE,False
S0056,Sales,Contract,High,Enterprise,779657.3932163818,6.048963030291186,1,46.53237493168854,0.4086057083333294,0,0,0.6316662499812356,0,APPROVE,False
S0057,Finance,BudgetRequest,Low,Enterprise,1790190.2246268857,2.4457681440238757,1,23.1421493456925,0.08798861457527657,0,1,0.39142858569950034,0,AI_ROUTE_ELEVATED,True
S0058,Sales,Quote,High,Basic,9050.319378712607,19.05916627914988,0,42.43804778402941,0.22122721060903264,0,4,-0.685318680594948,0,AI_ROUTE_STANDARD,True
S0059,Finance,BudgetRequest,Low,Gold,142333.6375314336,4.802456976296273,3,42.25589531083625,0.459018882148559,0,2,-0.6137342708254139,0,STANDARD_ROUTE,False
S0060,Compliance,ComplianceCase,High,Standard,43902.58257881189,0.036455238135844975,1,13.958790042615126,0.25428674401794316,0,2,0.5417082170819796,1,STANDARD_ROUTE,False
S0061,ServiceDesk,Incident,Medium,Standard,15212.841450291846,0.3105249473823698,5,18.721582369267036,0.2683435452606822,0,0,-0.682123433446487,2,AI_ROUTE_STANDARD,True
S0062,CRM,Contact,Low,Standard,36853.69878909933,7.329005189848587,2,41.73258032028391,0.6775913707334161,0,1,0.736245626981062,2,AI_ROUTE_STANDARD,True
S0063,Compliance,AuditRequest,Critical,Gold,161463.21526444505,2.418301407273474,1,38.347896823541305,0.1933440644562813,0,1,0.11682534516639587,0,PRIORITY_ROUTE,False
S0064,ServiceDesk,Problem,High,Standard,63123.75449970602,2.271325013382705,2,32.82168975206795,0.05622276272910866,2,2,-0.7944151910146686,1,ESCALATE_COMPLIANCE,False
S0065,HR,LeaveApproval,High,Gold,410321.8943171824,11.33700581862875,0,25.876504783881142,0.5542341181659084,0,2,0.3407709167088244,1,AI_ROUTE_STANDARD,True
S0066,Compliance,AuditRequest,Medium,Standard,65164.97573790453,1.4200532228255067,5,31.888955619214407,0.06861983699067012,0,0,-0.12278556702092325,2,AI_ROUTE_STANDARD,True
S0067,CRM,Case,High,Standard,52316.43334269986,5.454674116296007,2,8.179445846973126,0.4970251821033842,0,0,-0.19347727775233636,0,STANDARD_ROUTE,False
S0068,HR,PerformanceReview,Low,Gold,169677.33463130146,12.95433007873584,4,24.480131889918344,0.22606495647840663,0,3,0.9842666326813447,0,STANDARD_ROUTE,False
S0069,Finance,BudgetRequest,Medium,Standard,75980.17201737528,0.5642625188106417,2,11.783307933884188,0.2947431289833968,0,2,-0.2815332612004686,1,STANDARD_ROUTE,False
S0070,Compliance,ComplianceCase,High,Basic,6910.629980871629,1.5732968175557083,1,46.56649964123088,0.2142142216888464,1,1,0.2342899732080601,1,ESCALATE_COMPLIANCE,False
S0071,ServiceDesk,ServiceRequest,Medium,Standard,58016.0732769726,6.08919555485885,4,2.1239188821100132,0.254774550921872,0,0,-0.8228888315535172,0,STANDARD_ROUTE,False
S0072,Compliance,AuditRequest,Medium,Standard,53190.73734328659,4.6330381868237005,0,15.84870621083823,0.23915534289196536,0,1,-0.7345706923614452,0,STANDARD_ROUTE,False
S0073,Sales,Quote,High,Standard,26951.41753890413,5.249640711244546,1,46.25897455896895,0.5404447448632782,0,1,0.7292176719100734,1,STANDARD_ROUTE,False
S0074,CRM,Lead,Medium,Basic,9467.878207042584,7.014131239435127,2,8.066153649033243,0.045263261147515325,1,0,-0.4226288089387238,0,ESCALATE_COMPLIANCE,False
S0075,Sales,Opportunity,Low,Standard,49435.511177078886,9.265748345143576,3,14.601290541613338,0.05733242499830093,0,1,0.1929709499708432,1,STANDARD_ROUTE,False
S0076,HR,LeaveApproval,High,Standard,67831.83720524707,5.697552454763945,6,7.577113158584249,0.06023970149780276,0,4,0.7934285796802447,0,AI_ROUTE_STANDARD,True
S0077,CRM,Contact,High,Gold,291673.29177744,0.8654579407025558,1,25.34652441763477,0.32207076932560497,0,4,-0.7535546916556679,2,STANDARD_ROUTE,False
S0078,CRM,Lead,Low,Enterprise,1136791.1377945428,0.36424829856095553,3,0.6227407051366634,0.14956875648098705,0,0,-0.27845496177880036,3,EXPEDITE,False
S0079,ServiceDesk,Incident,Low,Standard,70428.2202577553,6.6330417996474464,1,20.637378613381845,0.247255153609776,0,0,-0.37545642790240796,0,STANDARD_ROUTE,False
S0080,Compliance,AuditRequest,Medium,Gold,123381.84564342156,0.6115530778037672,2,21.52905592202754,0.5656203956775399,1,1,0.8110495846593477,1,ESCALATE_COMPLIANCE,False
S0081,Finance,InvoiceApproval,Medium,Standard,43026.04712843206,1.6836988257172414,4,30.907990631837887,0.5615489280957517,0,0,-0.8953222484269834,1,STANDARD_ROUTE,False
S0082,Compliance,AuditRequest,High,Gold,332190.0026866698,0.3718283361022356,3,19.950198017747184,0.48781454928156276,3,1,-0.7603419959647073,1,ESCALATE_COMPLIANCE,False
S0083,ServiceDesk,ServiceRequest,Medium,Basic,6612.271192024838,0.3733959181720872,1,39.7382124369951,0.28111058472519784,0,1,0.8739156460621256,1,STANDARD_ROUTE,False
S0084,ServiceDesk,Incident,Medium,Gold,306271.77107859915,10.072628186070586,3,44.70327269558602,0.2848020206440548,1,2,-0.8381614338974956,1,ESCALATE_COMPLIANCE,False
S0085,Sales,Contract,Low,Gold,356388.8309381328,6.914700701639751,0,41.44568790794957,0.19693323160731277,0,1,-0.7072520156755018,0,STANDARD_ROUTE,False
S0086,Finance,ExpenseReport,High,Standard,17196.885492337176,5.997379798450323,0,28.7288106516843,0.4270280188422849,0,1,0.12888218135776497,0,STANDARD_ROUTE,False
S0087,CRM,Lead,Low,Standard,65754.79762668289,1.4116142481175298,1,4.044916181011381,0.1183791640651737,0,1,-0.534708922874638,0,STANDARD_ROUTE,False
S0088,Finance,ExpenseReport,High,Gold,454641.6860961867,2.389782119171129,1,20.171163245124035,0.2750073539162113,0,1,-0.48037358250993156,1,STANDARD_ROUTE,False
S0089,Finance,InvoiceApproval,Low,Gold,351719.52240429446,0.8868596780555359,0,2.525077441134055,0.12073943436405381,0,0,-0.7456004746251008,1,STANDARD_ROUTE,False
S0090,Sales,Contract,Medium,Gold,283778.70736239466,6.148776807577856,5,12.59685454718743,0.18278005313467782,1,2,0.03681604389040816,0,ESCALATE_COMPLIANCE,False
S0091,ServiceDesk,ServiceRequest,Critical,Gold,115208.73929498196,5.484949277559258,2,2.1896161841885466,0.016553517600778278,3,3,0.09923208743784895,1,ESCALATE_COMPLIANCE,False
S0092,Sales,Quote,Medium,Enterprise,1848351.236009353,6.10194847402271,3,12.632140522547926,0.24174962578531428,1,1,-0.051327780187572225,0,ESCALATE_COMPLIANCE,False
S0093,Finance,InvoiceApproval,Medium,Basic,6548.497542055751,0.6814380501792798,0,5.763378203540834,0.13655810096821802,0,0,-0.45241738497178696,2,STANDARD_ROUTE,False
S0094,CRM,Case,Low,Gold,444547.99854537443,7.496592511924302,3,40.49493126227792,0.3247525481477143,0,2,-0.6703703685411257,0,STANDARD_ROUTE,False
S0095,ServiceDesk,Problem,Medium,Basic,2356.0849693888968,1.6765342046902703,4,7.699545150414496,0.3820049931607655,0,4,-0.6120922654644503,2,STANDARD_ROUTE,False
S0096,Finance,ExpenseReport,High,Standard,41984.61118171655,6.12605349957595,1,36.64706110133446,0.13296735647492133,1,2,0.4441418764054741,2,ESCALATE_COMPLIANCE,False
S0097,Finance,ExpenseReport,Critical,Standard,65763.04037138566,1.7570784469189982,1,28.43960768004855,0.6147077052773836,0,3,-0.4603585597435713,2,PRIORITY_ROUTE,False
S0098,HR,OnboardingRequest,Low,Standard,28885.779537076847,6.974865025340333,2,35.43651630815803,0.2907613696520655,1,1,-0.6530398514680855,1,ESCALATE_COMPLIANCE,False
S0099,Compliance,PolicyReview,Low,Gold,253533.1807732176,3.3933347848401803,1,17.7061834784837,0.5083861662172269,0,3,0.6052866195914208,1,STANDARD_ROUTE,False
S0100,HR,LeaveApproval,Medium,Enterprise,1244691.7285329495,2.296842016564525,2,29.485694600187962,0.38695817174523023,0,0,-0.4356258506135997,0,PRIORITY_ROUTE,False
S0101,Compliance,PolicyReview,High,Basic,3447.547535157679,5.698449014388644,2,23.659631699485754,0.012576968831467986,0,4,-0.1624133618516772,0,STANDARD_ROUTE,False
S0102,CRM,Case,High,Basic,6887.57141326667,0.8830736605371186,4,5.919549782176835,0.24639626393630806,0,1,0.7202793866988699,1,STANDARD_ROUTE,False
S0103,HR,OnboardingRequest,Critical,Standard,51247.05773757908,2.65199527365974,2,32.278561023132646,0.03398861780394712,0,2,-0.8960868448914632,1,PRIORITY_ROUTE,False
S0104,Finance,ExpenseReport,Low,Gold,307754.3438015749,0.9170553391483537,4,47.28700866669157,0.32833972270268685,0,0,0.3135602094485881,1,STANDARD_ROUTE,False
S0105,Compliance,ComplianceCase,High,Basic,5709.966680752672,1.3538694675562155,4,43.96677824933455,0.09817715019088141,0,2,0.9670429454304441,0,STANDARD_ROUTE,False
S0106,CRM,Contact,Low,Enterprise,1481438.8284874428,0.6599905050012151,2,42.41477749934859,0.16765660233551122,3,2,0.763855516609288,1,ESCALATE_COMPLIANCE,False
S0107,Compliance,ComplianceCase,Medium,Standard,74741.82601322427,8.838494422941713,0,35.24608329116721,0.3456303374335006,0,1,0.6432737954209433,1,AI_ROUTE_STANDARD,True
S0108,Sales,Quote,High,Basic,2563.854338221694,4.979373926941134,1,11.894020355907374,0.2913305263540643,0,1,0.6828951061695199,2,STANDARD_ROUTE,False
S0109,ServiceDesk,ServiceRequest,High,Standard,71769.44770174877,0.2887396202781773,2,40.259453449039654,0.5689403837780267,0,0,-0.9336212908751476,0,STANDARD_ROUTE,False
S0110,HR,LeaveApproval,High,Basic,8266.564273059561,0.2436476851644839,3,8.531350841909644,0.13817805190552002,0,2,-0.96399982210957,1,STANDARD_ROUTE,False
S0111,HR,PerformanceReview,Medium,Enterprise,1959164.4843381287,6.995697759288948,5,25.80210462117386,0.07310905606348643,0,1,0.13434155983877116,0,PRIORITY_ROUTE,False
S0112,HR,PerformanceReview,High,Enterprise,1595369.2206352188,3.6532636081205245,0,42.16887421520452,0.15886431248132457,0,2,-0.14163481320728621,0,PRIORITY_ROUTE,False
S0113,HR,LeaveApproval,Medium,Standard,32707.65248554659,0.9950009957709185,3,41.756196550213716,0.11891219357701215,0,3,0.3528527246767845,0,STANDARD_ROUTE,False
S0114,ServiceDesk,Incident,Low,Standard,33640.80783387866,1.267448200191484,2,19.831165707627534,0.32676703779489685,0,1,0.24503939145949039,1,STANDARD_ROUTE,False
S0115,ServiceDesk,ServiceRequest,Critical,Standard,10689.76293843028,0.9890729474697224,0,5.63122332120784,0.49775074015985915,0,2,0.23413303223560256,0,PRIORITY_ROUTE,False
S0116,Compliance,PolicyReview,Low,Standard,54419.19223061068,4.846122048370041,1,13.549747462177177,0.20834129700563506,0,1,0.6475807684425894,2,STANDARD_ROUTE,False
S0117,Compliance,AuditRequest,High,Enterprise,589287.0505216576,3.703298672515168,1,18.732346944636525,0.04270399932790185,1,0,-0.8396399718361931,0,ESCALATE_COMPLIANCE,False
S0118,Sales,Contract,Medium,Standard,89923.5157924106,3.6521082768696447,1,5.997536317238505,0.24565439059139302,0,5,-0.8312152389109153,1,STANDARD_ROUTE,False
S0119,HR,OnboardingRequest,Medium,Gold,426689.28102341783,0.27904933315359953,2,4.186695624743441,0.41847644013068486,0,2,-0.8022527647187292,1,STANDARD_ROUTE,False
S0120,Compliance,ComplianceCase,Medium,Enterprise,1288718.8983099856,2.867148759294899,1,2.6269763989717405,0.5811522014230666,0,2,0.6942789793875701,2,PRIORITY_ROUTE,False
S0121,HR,OnboardingRequest,High,Enterprise,1958037.8847448868,1.0376057151374887,2,5.216854630800415,0.10935098914878347,0,0,0.6709604727646552,1,PRIORITY_ROUTE,False
S0122,Compliance,PolicyReview,Low,Gold,318152.44848732103,0.36934591921988136,1,1.9695381247387438,0.22753128875131567,0,3,-0.645658149456269,1,STANDARD_ROUTE,False
S0123,Finance,BudgetRequest,High,Standard,62242.08408943264,0.5995570300085791,3,47.70779847273566,0.23119825228137791,0,1,-0.048907925026346666,1,STANDARD_ROUTE,False
S0124,Compliance,ComplianceCase,Medium,Standard,51261.9782112332,0.15488665408285654,2,32.83590491562306,0.19031368037078655,0,0,0.5092424431971836,1,STANDARD_ROUTE,False
S0125,ServiceDesk,Incident,Medium,Standard,49710.13422897939,3.7231340177529013,4,21.564152228140447,0.3241184499752309,3,0,-0.9936643028385965,1,ESCALATE_COMPLIANCE,False
S0126,Compliance,PolicyReview,Medium,Basic,5593.89240103809,3.9403399683412084,1,23.150064745096312,0.3374905640522829,0,2,-0.5785900722655937,1,STANDARD_ROUTE,False
S0127,Compliance,AuditRequest,Low,Standard,36515.74567115738,0.057674918952046086,3,36.28782630720603,0.26194555876274417,0,0,-0.02474438066557827,0,STANDARD_ROUTE,False
S0128,ServiceDesk,Incident,High,Enterprise,1323695.504415759,3.9996658901202617,2,5.294706998932271,0.25206378078855335,0,1,0.4202201128434133,1,PRIORITY_ROUTE,False
S0129,Sales,Contract,High,Gold,160931.83578581418,1.237900705816508,0,28.20473089166549,0.1962589856316813,0,2,0.43958290670937217,2,STANDARD_ROUTE,False
S0130,HR,LeaveApproval,Medium,Gold,429013.9177536787,6.5177157839819175,2,37.32894214414894,0.47673821090447693,0,0,0.4972904682524,0,STANDARD_ROUTE,False
S0131,CRM,Lead,Medium,Standard,63413.718667834124,9.042960762854493,2,45.1713040224682,0.225779975673386,0,3,0.8726423079383137,1,AI_ROUTE_STANDARD,True
S0132,Sales,Opportunity,Medium,Gold,381542.83665373246,0.01749126596698565,1,32.153307144964806,0.2588994971682863,1,1,-0.27989906819804333,2,ESCALATE_COMPLIANCE,False
S0133,Sales,Quote,Critical,Standard,87306.10168785666,0.8232926756560307,3,41.813750892381265,0.2702375703518916,0,2,0.4741931008641025,1,PRIORITY_ROUTE,False
S0134,ServiceDesk,Incident,Low,Enterprise,931114.3946983695,1.8341092607533558,0,5.796830085260629,0.05319433107237601,0,1,-0.7512632019989796,1,AI_ROUTE_ELEVATED,True
S0135,HR,OnboardingRequest,High,Basic,7523.708493835154,8.403380520724632,0,19.388260030621716,0.1307255049684443,0,2,-0.23483935285872914,0,AI_ROUTE_STANDARD,True
S0136,Finance,ExpenseReport,High,Gold,236721.48219687302,5.373346523254336,2,27.484394336048695,0.19665256115102764,0,2,-0.5858101636468576,0,STANDARD_ROUTE,False
S0137,Compliance,ComplianceCase,High,Gold,293630.82788408065,5.504495530426863,1,45.99501554693968,0.24630425773888387,0,1,-0.7183941022146478,2,STANDARD_ROUTE,False
S0138,Compliance,ComplianceCase,Medium,Basic,4493.49135514296,4.485030628268272,1,44.08057754876953,0.4399274947974638,0,0,-0.9843168184561664,1,STANDARD_ROUTE,False
S0139,HR,OnboardingRequest,Medium,Basic,3177.0396470160026,2.7774202082100623,1,13.548431214774869,0.1481586611689196,0,0,-0.1089167225162182,0,STANDARD_ROUTE,False
S0140,Compliance,ComplianceCase,Low,Enterprise,1290848.991130869,1.989389436219114,1,30.735585720784332,0.27580656830272404,0,0,-0.9739408644858325,0,AI_ROUTE_ELEVATED,True
S0141,ServiceDesk,Problem,Medium,Standard,72848.00415048155,2.01146901183105,5,11.521891872802534,0.06093943295541243,1,2,0.6095062439793897,0,ESCALATE_COMPLIANCE,False
S0142,Sales,Quote,Low,Standard,32843.89703410254,1.1284302321756385,2,43.31569709049191,0.11744094152525428,0,0,-0.934764103316867,0,STANDARD_ROUTE,False
S0143,Compliance,AuditRequest,Low,Gold,200400.5533049201,3.321131363807094,2,9.600664922404224,0.07871465357305069,0,0,-0.6495564557883453,1,STANDARD_ROUTE,False
S0144,Finance,InvoiceApproval,Medium,Standard,48475.16481953005,1.5801096688812517,1,20.929886635165502,0.15084611898355724,1,2,-0.4893818469921367,0,ESCALATE_COMPLIANCE,False
S0145,HR,LeaveApproval,Critical,Enterprise,1911176.780754662,2.8283389380631982,3,33.44685773000528,0.5495801208820879,0,1,-0.9248578192021852,0,PRIORITY_ROUTE,False
S0146,HR,OnboardingRequest,Medium,Enterprise,1283765.2716283826,0.22473427662598766,2,14.937269332113798,0.22525236780925226,0,1,0.42524266619702566,1,PRIORITY_ROUTE,False
S0147,HR,PerformanceReview,Medium,Basic,2984.395912201958,5.75006237095173,1,18.582759855141123,0.37421070569329484,0,1,0.8984172537410244,1,STANDARD_ROUTE,False
S0148,Finance,ExpenseReport,Medium,Standard,25488.030636573345,14.362657487251589,1,9.059298321087025,0.06283681139026609,1,1,-0.8962094009631782,0,ESCALATE_COMPLIANCE,False
S0149,HR,LeaveApproval,High,Standard,20698.695205936478,5.7879013431932185,3,23.41876996117963,0.229635501825419,1,0,0.5950947210743989,2,ESCALATE_COMPLIANCE,False
S0150,Compliance,ComplianceCase,Medium,Basic,9703.317477305316,0.21220555217024656,3,38.50016538377487,0.3308236827694813,0,1,0.7428280683817086,2,STANDARD_ROUTE,False
S0151,Compliance,AuditRequest,Low,Basic,1109.4109432964813,4.483676003558144,0,26.570786591174407,0.32393723967879673,0,2,0.5675196849682145,0,STANDARD_ROUTE,False
S0152,CRM,Contact,Critical,Standard,28486.12676302264,1.9214510662911835,3,37.59730494671209,0.07523861370078393,0,2,0.0955693887666389,2,PRIORITY_ROUTE,False
S0153,ServiceDesk,ServiceRequest,Medium,Gold,129616.8871649392,3.7203688345827843,3,33.26449533928576,0.36437571454812173,0,2,-0.8158094935341953,1,STANDARD_ROUTE,False
S0154,HR,PerformanceReview,Medium,Gold,280274.5899755652,4.459650140195693,2,0.595879593041111,0.32936270404620893,0,1,0.5446020303306858,1,EXPEDITE,False
S0155,Finance,InvoiceApproval,Medium,Enterprise,879652.3087694132,2.3931974933908013,3,32.44187365618887,0.18190706608398277,2,1,-0.13119336198678044,1,ESCALATE_COMPLIANCE,False
